scenario,algorithm,run,num_uavs,num_waypoints,best_cost,path_length,collision_count,collision_penetration,separation_violation,separation_deficit,smoothness,energy_proxy,success,execution_time
S1,PSO,1,1,1,101.67063782602317,99.72825777757528,0,0.0,0,0.0,0.9711900242239453,99.87393628120887,1,3.714695930480957
S1,PSO,2,1,1,97.80975647214197,96.16906899971251,0,0.0,0,0.0,0.8203437362147321,96.29212056014472,1,1.960015058517456
S1,PSO,3,1,1,101.6706619634708,99.7282789909322,0,0.0,0,0.0,0.9711914862693052,99.8739577138726,1,1.2478652000427246
S1,PSO,4,1,1,101.67065240198919,99.72827039780901,0,0.0,0,0.0,0.9711910020900868,99.87394904812253,1,0.731849193572998
S1,PSO,5,1,1,97.80979876266117,96.16910632932687,0,0.0,0,0.0,0.8203462166671524,96.29215826182694,1,0.7329106330871582
S1,PSO,6,1,1,101.6706730912765,99.72828800912325,0,0.0,0,0.0,0.9711925410766229,99.87396689028473,1,0.7034635543823242
S1,PSO,7,1,1,97.80975403435663,96.16906692994368,0,0.0,0,0.0,0.8203435522064747,96.29211846277465,1,0.7319624423980713
S1,PSO,8,1,1,97.80976464686185,96.16907610624847,0,0.0,0,0.0,0.8203442703066937,96.29212774679448,1,0.7265415191650391
S1,PSO,9,1,1,97.80978992489032,96.16909813135989,0,0.0,0,0.0,0.8203458967652207,96.29215001587467,1,0.775423526763916
S1,PSO,10,1,1,101.67062431916852,99.72824601514147,0,0.0,0,0.0,0.971189152013529,99.87392438794349,1,0.7582592964172363
S1,PSO,11,1,1,97.80987670455934,96.16917378856444,0,0.0,0,0.0,0.8203514579974565,96.29222650726406,1,0.742424488067627
S1,PSO,12,1,1,101.67068781221899,99.72830075518284,0,0.0,0,0.0,0.9711935285180684,99.87397978446056,1,1.138413667678833
S1,PSO,13,1,1,97.81624456856355,96.17457651536719,0,0.0,0,0.0,0.8208340265981766,96.29770161935691,1,1.2700226306915283
S1,PSO,14,1,1,97.8098364418525,96.16913735993009,0,0.0,0,0.0,0.8203495409612067,96.29218979107426,1,0.9333653450012207
S1,PSO,15,1,1,101.67065888826954,99.7282765126372,0,0.0,0,0.0,0.9711911878161711,99.87395519080962,1,0.744316577911377
S1,PSO,16,1,1,97.80977924348589,96.16908741932886,0,0.0,0,0.0,0.8203459120785181,96.29213930614064,1,0.712721586227417
